"Feature","Estimate","CI_Lower","CI_Upper","t.value","p.value","Significant"
"(Intercept)","   -290","-13,419"," 12,838","-0.044","0.9650",""
"rank_level"," 20,412"," 16,502"," 24,321","10.372","0.0000","***"
"is_officer","-36,106","-43,981","-28,231","-9.108","0.0000","***"
"yos"," -1,079"," -3,138","    980","-1.041","0.3007",""
"yos_squared","    104","     20","    188","2.446","0.0164","***"
"rank_yos_interaction","    413","    109","    717","2.703","0.0082","***"
"experience_stage","   -250"," -7,186","  6,685","-0.072","0.9430",""
